Wavelength (nm),Blue,Green,Yellow,Orange,Red,Ultraviolet,Infrared
448.0,583.79,174.36,166.69,168.58,167.45,168.21,152.34
449.0,672.44,174.08,162.5,167.31,159.79,168.81,150.05
450.0,769.91,175.89,166.07,165.78,166.17,173.44,151.31
451.0,874.55,173.66,170.23,168.08,162.75,168.92,151.39
452.0,1010.35,172.07,163.83,166.34,164.09,162.12,152.49
453.0,1167.52,167.65,165.96,168.58,164.56,167.46,155.52
454.0,1344.48,167.86,170.65,167.66,162.91,164.63,150.75
455.0,1557.33,170.97,168.12,163.19,168.75,172.32,147.34
456.0,1814.0,174.33,166.89,169.25,166.31,159.15,146.8
457.0,2091.86,171.19,166.67,163.4,168.26,155.84,148.63
458.0,2378.55,170.36,167.71,165.05,172.04,175.44,155.29
459.0,2724.52,172.7,168.77,170.56,171.7,209.67,157.49
460.0,3002.34,175.01,167.93,170.09,166.01,159.5,151.53
461.0,3163.18,170.53,170.03,166.6,167.29,178.8,153.18
462.0,3434.12,170.8,171.08,164.42,165.23,169.16,152.31
463.0,3606.76,171.46,167.44,168.82,161.3,159.84,148.88
464.0,3863.6,169.63,170.46,167.53,165.91,164.28,152.37
465.0,4065.1,170.59,167.67,167.75,163.3,170.01,150.84
466.0,4072.87,172.39,166.44,165.06,165.17,157.67,151.84
467.0,4093.94,171.71,169.45,163.52,163.95,166.4,155.2
468.0,4040.37,178.15,166.16,167.68,162.97,159.24,154.23
469.0,3928.81,169.51,167.02,165.96,166.05,160.33,147.68
470.0,3783.26,175.38,166.98,168.11,164.06,160.01,148.09
471.0,3560.77,169.16,168.85,165.02,166.99,160.15,148.06
472.0,3444.04,175.64,169.96,167.93,163.37,166.18,148.89
473.0,3243.41,180.21,167.99,162.43,167.7,165.03,148.8
474.0,3044.38,187.11,166.82,167.65,166.07,161.8,151.98
475.0,2830.67,179.29,165.38,164.95,167.33,156.02,152.94
476.0,2687.22,181.0,169.58,164.8,163.14,164.24,151.96
477.0,2501.31,181.18,170.67,163.98,166.87,159.27,151.52
478.0,2348.68,183.02,167.99,165.98,166.03,164.96,149.02
479.0,2236.82,178.32,164.59,167.65,167.88,174.43,149.97
480.0,2128.96,189.37,172.44,165.33,163.36,166.04,150.88
481.0,2040.31,190.86,168.02,165.21,165.35,156.87,148.48
482.0,1976.78,193.08,166.86,161.21,167.99,165.95,152.04
483.0,1878.87,203.58,170.28,167.74,169.99,196.84,161.34
484.0,1802.52,208.98,168.15,164.17,170.44,170.73,151.51
485.0,1708.28,212.52,166.98,170.08,164.25,171.31,153.75
486.0,1595.87,217.69,167.93,165.97,167.51,170.65,152.4
487.0,1469.82,234.85,166.0,164.08,163.4,162.22,147.94
488.0,1364.58,241.42,164.82,165.5,165.85,170.8,149.08
489.0,1268.41,253.39,168.0,160.25,165.94,168.07,148.43
490.0,1155.34,266.82,170.14,164.82,170.01,201.9,158.21
491.0,1086.13,284.92,167.0,162.0,164.97,173.03,151.0
492.0,998.2,299.73,169.11,164.61,159.98,171.35,150.47
493.0,933.59,321.84,166.66,164.81,163.11,161.22,151.65
494.0,855.41,345.42,165.14,167.21,165.48,163.88,148.8
495.0,791.0,383.18,164.52,161.43,159.06,158.84,149.07
496.0,741.06,405.59,167.39,160.94,162.79,164.93,148.74
497.0,679.98,452.38,171.02,167.46,168.35,168.9,152.52
498.0,637.33,492.72,171.01,169.65,160.09,156.46,148.54
499.0,607.26,537.45,164.23,161.4,159.42,155.61,151.39
500.0,568.2,597.61,162.94,163.01,164.07,162.25,152.98
501.0,537.67,645.15,165.89,167.92,161.1,162.48,151.98
502.0,513.05,736.31,170.06,162.76,160.99,160.25,150.29
503.0,483.3,804.28,167.45,166.04,165.78,164.63,149.88
504.0,451.67,901.22,164.86,160.46,161.95,160.59,150.98
505.0,422.46,993.25,167.56,164.04,165.54,155.13,149.98
506.0,394.25,1125.28,166.6,163.64,162.83,159.01,150.6
507.0,375.26,1241.7,165.19,164.27,160.44,160.31,151.19
508.0,345.25,1400.0,166.73,164.51,161.98,156.03,150.96
509.0,340.72,1548.47,165.04,165.03,163.11,170.06,151.0
510.0,309.63,1733.87,165.97,168.44,163.32,157.66,149.22
511.0,293.01,1934.6,167.34,167.89,165.13,166.4,154.45
512.0,286.42,2132.44,167.9,168.89,171.69,197.08,154.73
513.0,275.16,2336.82,168.18,163.64,168.55,166.53,150.33
